================================================================================
TOKEN-TO-ID MAPPINGS
================================================================================
Vocabulary size: 1104

ID         Token                                              Frequency      
932        vpsrlvw                                            7
933        vunpcklps                                          7
934        __val                                              6
935        back_green                                         6
936        data                                               6
937        jpt_202E40                                         6
938        jpt_204972                                         6
939        jpt_2051B8                                         6
940        jpt_20AA48                                         6
941        jpt_258A42                                         6
942        jpt_2A8514                                         6
943        jpt_4FE0                                           6
944        knotq                                              6
945        maskmovdqu                                         6
946        nVModMapKeys                                       6
947        pextrd                                             6
948        popfq                                              6
949        set                                                6
950        stosd                                              6
951        uss                                                6
952        vextractps                                         6
953        vfmsub213pd                                        6
954        vpabsb                                             6
955        vpermt2d                                           6
956        which_clock                                        6
957        xmm27                                              6
958        cp                                                 5
959        drawable                                           5
960        funcs_3020                                         5
961        jpt_202DAC                                         5
962        jpt_202F18                                         5
963        jpt_203C78                                         5
964        jpt_2040B7                                         5
965        jpt_20B296                                         5
966        jpt_37AB                                           5
967        jpt_504C9                                          5
968        lineptr                                            5
969        lodsb                                              5
970        nKeys                                              5
971        nbytes                                             5
972        phaddsw                                            5
973        pmovsxwq                                           5
974        pmuldq                                             5
975        vextracti32x8                                      5
976        vfmsub213ps                                        5
977        vfnmadd231ps                                       5
978        vmovshdup                                          5
979        vpgatherqq                                         5
980        vphaddwq                                           5
981        vphminposuw                                        5
982        vpmovsxdq                                          5
983        dword_0                                            4
984        fcmove                                             4
985        fninit                                             4
986        funcs_202EA6                                       4
987        jpt_20250A                                         4
988        jpt_202638                                         4
989        jpt_2032A0                                         4
990        jpt_203BEF                                         4
991        jpt_2050C8                                         4
992        jpt_207023                                         4
993        jpt_207F58                                         4
994        jpt_2088B7                                         4
995        jpt_2091F8                                         4
996        jpt_209385                                         4
997        jpt_20B40C                                         4
998        kandnq                                             4
999        kandq                                              4
1000       lodsd                                              4
1001       lzcnt                                              4
1002       movnti                                             4
1003       num_units                                          4
1004       outbytesleft                                       4
1005       prefetchw                                          4
1006       start                                              4
1007       stmxcsr                                            4
1008       uaddr                                              4
1009       v                                                  4
1010       vbroadcasti32x8                                    4
1011       vcvtdq2pd                                          4
1012       vorpd                                              4
1013       vpandnq                                            4
1014       vpcmpgtq                                           4
1015       vpcmpneqq                                          4
1016       vpmovzxbq                                          4
1017       vpshufbitqmb                                       4
1018       vpsravw                                            4
1019       5                                                  3
1020       base                                               3
1021       cmpnltps                                           3
1022       cmpordpd                                           3
1023       cond                                               3
1024       dst_x                                              3
1025       fsubr                                              3
1026       funcs_203D5E                                       3
1027       io_funcs                                           3
1028       jpt_2037E3                                         3
1029       jpt_204C57                                         3
1030       jpt_206043                                         3
1031       jpt_2060FC                                         3
1032       jpt_20E33C                                         3
1033       k7                                                 3
1034       locale                                             3
1035       path                                               3
1036       pcmpeqq                                            3
1037       pmaxsb                                             3
1038       prot                                               3
1039       read                                               3
1040       special_file                                       3
1041       stack_end                                          3
1042       vgatherqpd                                         3
1043       vmaskmovpd                                         3
1044       vmaxsd                                             3
1045       vmaxss                                             3
1046       vpermi2d                                           3
1047       vpermw                                             3
1048       vpexpandq                                          3
1049       vpminsb                                            3
1050       vpscatterdd                                        3
1051       addr                                               2
1052       addr_len                                           2
1053       cvtsd2si                                           2
1054       delete                                             2
1055       fchs                                               2
1056       fdiv                                               2
1057       fidivr                                             2
1058       fnstsw                                             2
1059       funcs_247280                                       2
1060       funcs_26CAAC                                       2
1061       funcs_2D0A                                         2
1062       funcs_5447B                                        2
1063       funcs_D20F                                         2
1064       fxsave64                                           2
1065       group                                              2
1066       jpt_202884                                         2
1067       jpt_202C1A                                         2
1068       jpt_207B03                                         2
1069       jpt_20F276                                         2
1070       jpt_2457CE                                         2
1071       jpt_26F19                                          2
1072       knotd                                              2
1073       kshiftrb                                           2
1074       len                                                2
1075       loop                                               2
1076       movntdq                                            2
1077       pcmpgtq                                            2
1078       pcmpistri                                          2
1079       phminposuw                                         2
1080       pminsb                                             2
1081       pmovsxbd                                           2
1082       pmovsxbq                                           2
1083       pmovzxdq                                           2
1084       result                                             2
1085       sarx                                               2
1086       scasd                                              2
1087       st_ino                                             2
1088       string                                             2
1089       time1                                              2
1090       var(0xs0)                                          2
1091       vcvttpd2dq                                         2
1092       vfnmadd231sd                                       2
1093       vgatherqps                                         2
1094       vminsd                                             2
1095       vpcmpltud                                          2
1096       vphadddq                                           2
1097       vphaddsw                                           2
1098       vphadduwd                                          2
1099       vpshldd                                            2
1100       vpsllvw                                            2
1101       vptestmw                                           2
1102       xmm29                                              2
1103       xmm31                                              2
